,horsepower,price
0,111.0,13495.0
1,111.0,16500.0
2,154.0,16500.0
3,102.0,13950.0
4,115.0,17450.0
5,110.0,15250.0
6,110.0,17710.0
7,110.0,18920.0
8,140.0,23875.0
10,101.0,16430.0
11,101.0,16925.0
12,121.0,20970.0
13,121.0,21105.0
14,121.0,24565.0
15,182.0,30760.0
16,182.0,41315.0
17,182.0,36880.0
18,48.0,5151.0
19,70.0,6295.0
20,70.0,6575.0
21,68.0,5572.0
22,68.0,6377.0
23,102.0,7957.0
24,68.0,6229.0
25,68.0,6692.0
26,68.0,7609.0
28,88.0,8921.0
29,145.0,12964.0
30,58.0,6479.0
31,76.0,6855.0
32,60.0,5399.0
33,76.0,6529.0
34,76.0,7129.0
35,76.0,7295.0
36,76.0,7295.0
37,86.0,7895.0
38,86.0,9095.0
39,86.0,8845.0
40,86.0,10295.0
41,101.0,12945.0
42,100.0,10345.0
43,78.0,6785.0
46,90.0,11048.0
47,176.0,32250.0
48,176.0,35550.0
49,262.0,36000.0
50,68.0,5195.0
51,68.0,6095.0
52,68.0,6795.0
53,68.0,6695.0
54,68.0,7395.0
55,101.0,10945.0
56,101.0,11845.0
57,101.0,13645.0
58,135.0,15645.0
59,84.0,8845.0
60,84.0,8495.0
61,84.0,10595.0
62,84.0,10245.0
63,64.0,10795.0
64,84.0,11245.0
65,120.0,18280.0
66,72.0,18344.0
67,123.0,25552.0
68,123.0,28248.0
69,123.0,28176.0
70,123.0,31600.0
71,155.0,34184.0
72,155.0,35056.0
73,184.0,40960.0
74,184.0,45400.0
75,175.0,16503.0
76,68.0,5389.0
77,68.0,6189.0
78,68.0,6669.0
79,102.0,7689.0
80,116.0,9959.0
81,88.0,8499.0
82,145.0,12629.0
83,145.0,14869.0
84,145.0,14489.0
85,88.0,6989.0
86,88.0,8189.0
87,116.0,9279.0
88,116.0,9279.0
89,69.0,5499.0
90,55.0,7099.0
91,69.0,6649.0
92,69.0,6849.0
93,69.0,7349.0
94,69.0,7299.0
95,69.0,7799.0
96,69.0,7499.0
97,69.0,7999.0
98,69.0,8249.0
99,97.0,8949.0
100,97.0,9549.0
101,152.0,13499.0
102,152.0,14399.0
103,152.0,13499.0
104,160.0,17199.0
105,200.0,19699.0
106,160.0,18399.0
107,97.0,11900.0
108,95.0,13200.0
109,97.0,12440.0
110,95.0,13860.0
111,95.0,15580.0
112,95.0,16900.0
113,95.0,16695.0
114,95.0,17075.0
115,97.0,16630.0
116,95.0,17950.0
117,142.0,18150.0
118,68.0,5572.0
119,102.0,7957.0
120,68.0,6229.0
121,68.0,6692.0
122,68.0,7609.0
123,88.0,8921.0
124,145.0,12764.0
125,143.0,22018.0
126,207.0,32528.0
127,207.0,34028.0
128,207.0,37028.0
130,95.0,9295.0
131,95.0,9895.0
132,110.0,11850.0
133,110.0,12170.0
134,110.0,15040.0
135,110.0,15510.0
136,160.0,18150.0
137,160.0,18620.0
138,69.0,5118.0
139,73.0,7053.0
140,73.0,7603.0
141,82.0,7126.0
142,82.0,7775.0
143,94.0,9960.0
144,82.0,9233.0
145,111.0,11259.0
146,82.0,7463.0
147,94.0,10198.0
148,82.0,8013.0
149,111.0,11694.0
150,62.0,5348.0
151,62.0,6338.0
152,62.0,6488.0
153,62.0,6918.0
154,62.0,7898.0
155,62.0,8778.0
156,70.0,6938.0
157,70.0,7198.0
158,56.0,7898.0
159,56.0,7788.0
160,70.0,7738.0
161,70.0,8358.0
162,70.0,9258.0
163,70.0,8058.0
164,70.0,8238.0
165,112.0,9298.0
166,112.0,9538.0
167,116.0,8449.0
168,116.0,9639.0
169,116.0,9989.0
170,116.0,11199.0
171,116.0,11549.0
172,116.0,17669.0
173,92.0,8948.0
174,73.0,10698.0
175,92.0,9988.0
176,92.0,10898.0
177,92.0,11248.0
178,161.0,16558.0
179,161.0,15998.0
180,156.0,15690.0
181,156.0,15750.0
182,52.0,7775.0
183,85.0,7975.0
184,52.0,7995.0
185,85.0,8195.0
186,85.0,8495.0
187,68.0,9495.0
188,100.0,9995.0
189,90.0,11595.0
190,90.0,9980.0
191,110.0,13295.0
192,68.0,13845.0
193,88.0,12290.0
194,114.0,12940.0
195,114.0,13415.0
196,114.0,15985.0
197,114.0,16515.0
198,162.0,18420.0
199,162.0,18950.0
200,114.0,16845.0
201,160.0,19045.0
202,134.0,21485.0
203,106.0,22470.0
204,114.0,22625.0
